id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
38,Intel Atom C2338,8/1/2013,2,2,,1700,2000,1024,16777216,
39,Intel Atom C2350,8/1/2013,2,2,,1700,2000,1024,16777216,98
40,Intel Atom C2358,8/1/2013,2,2,,1700,2000,1024,16777216,
41,Intel Atom C2518,8/1/2013,4,4,,1700,,2048,33554432,
42,Intel Core i5-4250U,8/1/2013,2,4,5,1300,2600,3072,16777216,100
43,Intel Core i5-4288U,8/1/2013,2,4,5,2600,3100,3072,16777216,100
44,Intel Core i5-4210Y,8/1/2013,2,4,5,1500,1900,3072,16777216,100
45,Intel Core i5-4258U,8/1/2013,2,4,5,2400,2900,3072,16777216,100
46,Intel Core i5-4200Y,8/1/2013,2,4,5,1400,1900,3072,16777216,100
47,Intel Core i5-4200U,8/1/2013,2,4,5,1600,2600,3072,16777216,100
48,Intel Core i5-4350U,8/1/2013,2,4,5,1400,2900,3072,16777216,100
49,Intel Core i5-4300Y,8/1/2013,2,4,5,1600,2300,3072,16777216,100
50,Intel Core i5-4302Y,8/1/2013,2,4,5,1600,2300,3072,16777216,100
51,Intel Core i5-4202Y,8/1/2013,2,4,5,1600,2000,3072,16777216,100
52,Intel Core i5-4300U,8/1/2013,2,4,5,1900,2900,3072,16777216,100
53,Intel Core i5-4402E,8/1/2013,2,4,5,1600,2700,3072,16777216,100
54,Intel Core i5-4440S,8/1/2013,4,4,5,2800,3300,6144,33554432,71.35
55,Intel Core i5-4440,8/1/2013,4,4,5,3100,3300,6144,33554432,72.72
56,Intel Core i7-4500U,8/1/2013,2,4,5,1800,3000,4096,16777216,100
57,Intel Core i7-4558U,8/1/2013,2,4,5,2800,3300,4096,16777216,100
58,Intel Core i7-4650U,8/1/2013,2,4,5,1700,3300,4096,16777216,100
59,Intel Core i7-4550U,8/1/2013,2,4,5,1500,3000,4096,16777216,100
60,Intel Core i7-4950HQ,8/1/2013,4,8,5,2400,3600,6144,33554432,100
61,Intel Core i7-4850HQ,8/1/2013,4,8,5,2300,3500,6144,33554432,100
62,Intel Core i7-4750HQ,8/1/2013,4,8,5,2000,3200,6144,33554432,100
63,Intel Core i7-4850EQ,8/1/2013,4,8,5,1600,3200,6144,33554432,100
64,Intel Core i7-4860EQ,8/1/2013,4,8,5,1800,3200,6144,33554432,100
65,Intel Core i7-4610Y,8/1/2013,2,4,5,1700,2900,4096,16777216,100
66,Intel Core i7-4600U,8/1/2013,2,4,5,2100,3300,4096,16777216,100
67,Intel Core i7-4771,8/1/2013,4,8,5,3500,3900,8192,33554432,72
68,Intel Core i7-4701EQ,8/1/2013,4,8,5,2400,3400,6144,33554432,100
69,Intel Celeron J1850,8/1/2013,4,4,,2000,,2048,8388608,100
70,Intel Celeron J1750,8/1/2013,2,2,,2410,,1024,8388608,100
71,Intel Core i3-4010U,8/1/2013,2,4,5,1700,,3072,16777216,100
